名称,product_name,component_type,manufacturer,model_number,release_year,release_price_rmb,current_price_rmb,socket_type,tdp,clock_speeds,memory_capacity_gb,supported_motherboards,supported_operating_systems,form_factor,name,type,compatible_systems,specifications
Intel Core i7-13700K,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,
AMD Ryzen 9 7950X,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,
NVIDIA GeForce RTX 4080,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,
AMD Radeon RX 7900 XTX,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,
Samsung 990 Pro 2TB SSD,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,
Corsair Vengeance LPX 32GB (16GB x 2) DDR5 5600MHz,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,
ASUS ROG Strix Z790-E Gaming WiFi,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,
MSI MAG B650 Tomahawk WiFi,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,
Seagate Barracuda 2TB HDD,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,
Be Quiet! Dark Base Pro 4,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,
Logitech G Pro X Wireless Mouse,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,
Razer BlackWidow V3 Keyboard,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,
Corsair iCUE Storm Z RGB Lighting Strips,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,
Thermaltake WaterCooling 240mm AIO,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,
Intel Core i7-13700K,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,
AMD Ryzen 9 7950X,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,
NVIDIA GeForce RTX 4080,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,
AMD Radeon RX 7900 XTX,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,
Samsung 990 Pro 2TB SSD,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,
Corsair Vengeance LPX 32GB (16GB x 2) DDR5 5600MHz,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,
ASUS ROG Strix Z790-E Gaming WiFi,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,
MSI MAG B650 Tomahawk WiFi,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,
