名称,name,manufacturer,price,category,release_date,specifications,power_consumption,compatibility,warranty_period,dimensions,weight
Intel Core i9-13900K,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
NVIDIA GeForce RTX 4090,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
AMD Ryzen 9 7950X,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
Samsung 990 Pro SSD,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
Corsair Vengeance RGB DDR5,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
ASUS ROG Strix Z790-E,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
Seagate BarraCuda HDD,[待补全],Seagate Technology,[待补全],Internal Hard Drive,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
Cooler Master Hyper 212,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
EVGA SuperNOVA 1000W,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
Logitech G Pro X Keyboard,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
Razer DeathAdder V3 Pro,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
ASUS ROG Swift PG279QM,[待补全],[待补全],[待补全],Computer Monitor,[待补全],[待补全],[待补全],[待补全],[待补全],"{'with_stand': '614 x 550 x 224 mm', 'without_stand': '614 x 364 x 58 mm', 'weight_with_stand': '7.8 kg', 'weight_without_stand': '5.2 kg'}",[待补全]
Western Digital Black SN850X,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
Noctua NH-D15,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
G.Skill Trident Z5 RGB,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
Intel Core i9-13900K,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
NVIDIA GeForce RTX 4090,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
AMD Ryzen 9 7950X,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
Samsung 990 Pro SSD,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
Corsair Vengeance RGB DDR5,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
