品名,别名,CAS号
阿片,鸦片,8008-60-4
氨,液氨；氨气,7664-41-7
"5-氨基-1,3,3-三甲基环己甲胺","异佛尔酮二胺；3,3,5-三甲基-4,6-二氨基-2-烯环己酮；1-氨基-3-氨基甲基-3,5,5-三甲基环己烷",2855-13-2
"5-氨基-3-苯基-1-[双(N,N-二甲基氨基氧膦基)]-1,2,4-三唑[含量＞20%]",威菌磷,1031-47-6
"4-[3-氨基-5-(1-甲基胍基)戊酰氨基]-1-[4-氨基-2-氧代-1(2H)-嘧啶基]-1,2,3,4-四脱氧-β,D赤己-2-烯吡喃糖醛酸",灰瘟素,2079-00-7
"4-氨基-N,N-二甲基苯胺","N,N-二甲基对苯二胺；对氨基-N,N-二甲基苯胺",99-98-9
2-氨基苯酚,邻氨基苯酚,95-55-6
3-氨基苯酚,间氨基苯酚,591-27-5
4-氨基苯酚,对氨基苯酚,123-30-8
3-氨基苯甲腈,间氨基苯甲腈；氰化氨基苯,2237-30-1
2-氨基苯胂酸,邻氨基苯胂酸,2045-00-3
3-氨基苯胂酸,间氨基苯胂酸,2038-72-4
4-氨基苯胂酸,对氨基苯胂酸,98-50-0
4-氨基苯胂酸钠,对氨基苯胂酸钠,127-85-5
2-氨基吡啶,邻氨基吡啶,504-29-0
3-氨基吡啶,间氨基吡啶,462-08-8
4-氨基吡啶,对氨基吡啶；4-氨基氮杂苯；对氨基氮苯；γ-吡啶胺,504-24-5
1-氨基丙烷,正丙胺,107-10-8
2-氨基丙烷,异丙胺,75-31-0
3-氨基丙烯,烯丙胺,107-11-9
4-氨基二苯胺,对氨基二苯胺,101-54-2
氨基胍重碳酸盐,,2582-30-1
氨基化钙,氨基钙,23321-74-6
氨基化锂,氨基锂,7782-89-0
氨基磺酸,,5329-14-6
5-(氨基甲基)-3-异噁唑醇,3-羟基-5-氨基甲基异噁唑；蝇蕈醇,2763-96-4
氨基甲酸胺,,1111-78-0
(2-氨基甲酰氧乙基)三甲基氯化铵,氯化氨甲酰胆碱；卡巴考,51-83-2
3-氨基喹啉,,580-17-6
2-氨基联苯,邻氨基联苯；邻苯基苯胺,90-41-5
4-氨基联苯,对氨基联苯；对苯基苯胺,92-67-1
1-氨基乙醇,乙醛合氨,75-39-8
2-氨基乙醇,乙醇胺；2-羟基乙胺,141-43-5
2-(2-氨基乙氧基)乙醇,,929-06-6
氨溶液[含氨＞10%],氨水,1336-21-6
N-氨基乙基哌嗪,1-哌嗪乙胺；N-(2-氨基乙基)哌嗪；2-(1-哌嗪基)乙胺,140-31-8
八氟-2-丁烯,全氟-2-丁烯,360-89-4
八氟丙烷,全氟丙烷,76-19-7
八氟环丁烷,RC318,115-25-3
八氟异丁烯,"全氟异丁烯；1,1,3,3,3-五氟-2-(三氟甲基)-1-丙烯",382-21-8
八甲基焦磷酰胺,八甲磷,152-16-9
"1,3,4,5,6,7,8,8-八氯-1,3,3a,4,7,7a-六氢-4,7-甲撑异苯并呋喃[含量＞1%]",八氯六氢亚甲基苯并呋喃；碳氯灵,297-78-9
"1,2,4,5,6,7,8,8-八氯-2,3,3a,4,7,7a-六氢-4,7-亚甲基茚 ",氯丹,57-74-9
八氯莰烯 ,毒杀芬,8001-35-2
八溴联苯,,27858-07-7
白磷,黄磷,12185-10-3
钡,金属钡,7440-39-3
钡合金,,
苯,纯苯,71-43-2
"苯-1,3-二磺酰肼[糊状,浓度52%]",,4547-70-0
苯胺,氨基苯,62-53-3
苯并呋喃,氧茚；香豆酮；古马隆,271-89-6
"1,2-苯二胺","邻苯二胺；1,2-二氨基苯",95-54-5
"1,3-苯二胺","间苯二胺；1,3-二氨基苯",108-45-2
"1,4-苯二胺","对苯二胺；1,4-二氨基苯；乌尔丝D",106-50-3
"1,2-苯二酚",邻苯二酚,120-80-9
"1,3-苯二酚",间苯二酚；雷琐酚,108-46-3
"1,4-苯二酚",对苯二酚；氢醌,123-31-9
"1,3-苯二磺酸溶液",,98-48-6
苯酚,酚；石炭酸,108-95-2
苯酚溶液,,
苯酚二磺酸硫酸溶液,,
苯酚磺酸,,1333-39-7
苯酚钠,苯氧基钠,139-02-6
苯磺酰肼,发泡剂BSH,80-17-1
苯磺酰氯,氯化苯磺酰,36047
4-苯基-1-丁烯,,768-56-9
N-苯基-2-萘胺,防老剂D,135-88-6
